Continental Region, Year,Weather Anomaly
Northern Hemisphere,2035,1.5
Northern Hemisphere,2065,3.0
Northern Hemisphere,2100,5.8
Northern Hemisphere,2035,0.8
Northern Hemisphere,2065,1.7
Northern Hemisphere,2100,2.8
Asia,2035,0.9
Asia,2065,1.8
Asia,2100,3.0
Asia,2035,1.0
Asia,2065,1.7
Asia,2100,2.9
Asia,2035,1.0
Asia,2065,2.0
Asia,2100,3.2
Oceania,2035,0.8
Oceania,2065,1.6
Oceania,2100,2.7
Oceania,2035,0.7
Oceania,2065,1.5
Oceania,2100,2.6
Oceania,2035,0.8
Oceania,2065,1.5
Oceania,2100,2.8
South America,2035,0.7
South America,2065,1.4
South America,2100,2.3
South America,2035,0.6
South America,2065,1.3
South America,2100,2.2
South America,2035,0.7
South America,2065,1.4
South America,2100,2.3
Asia,2035,1.0
Asia,2065,1.9
Asia,2100,3.3
Asia,2035,1.1
Asia,2065,2.0
Asia,2100,3.3
Asia,2035,1.0
Asia,2065,1.8
Asia,2100,3.3
Europe,2035,1.0
Europe,2065,1.9
Europe,2100,3.1
Europe,2035,0.8
Europe,2065,1.7
Europe,2100,3.1
Europe,2035,0.9
Europe,2065,1.9
Europe,2100,3.2
North America,2035,0.9
North America,2065,1.7
North America,2100,3.0
North America,2035,0.9
North America,2065,1.8
North America,2100,3.0
North America,2035,0.9
North America,2065,1.9
North America,2100,3.1
Africa,2035,0.8
Africa,2065,1.5
Africa,2100,2.4
Africa,2035,0.7
Africa,2065,1.4
Africa,2100,2.3
Africa,2035,0.8
Africa,2065,1.5
Africa,2100,2.6
Asia,2035,0.9
Asia,2065,1.6
Asia,2100,2.9
Asia,2035,1.0
Asia,2065,1.9
Asia,2100,3.1
Asia,2035,0.7
Asia,2065,1.6
Asia,2100,2.8
North America,2035,0.9
North America,2065,1.7
North America,2100,3.2
North America,2035,1.0
North America,2065,1.9
North America,2100,3.2
North America,2035,0.9
North America,2065,1.7
North America,2100,3.1
East Pacific,2035,0.6
East Pacific,2065,1.1
East Pacific,2100,1.8
East Pacific,2035,0.6
East Pacific,2065,1.1
East Pacific,2100,1.8
East Pacific,2035,0.6
East Pacific,2065,1.1
East Pacific,2100,1.8
Europe,2035,1.2
Europe,2065,1.9
Europe,2100,3.1
Europe,2035,1.4
Europe,2065,2.5
Europe,2100,4.0
Europe,2035,0.8
Europe,2065,1.7
Europe,2100,2.8
North America,2035,1.2
North America,2065,2.2
North America,2100,4.0
North America,2035,1.6
North America,2065,3.0
North America,2100,5.4
North America,2035,1.0
North America,2065,1.6
North America,2100,3.0
Asia,2035,1.2
Asia,2065,2.3
Asia,2100,3.7
Asia,2035,1.4
Asia,2065,3.0
Asia,2100,4.8
Asia,2035,1.0
Asia,2065,1.9
Asia,2100,3.1
Atlantic MDR,2035,0.6
Atlantic MDR,2065,1.0
Atlantic MDR,2100,1.7
Atlantic MDR,2035,0.6
Atlantic MDR,2065,1.0
Atlantic MDR,2100,1.7
Atlantic MDR,2035,0.6
Atlantic MDR,2065,1.1
Atlantic MDR,2100,1.8
South America,2035,0.8
South America,2065,1.5
South America,2100,2.5
South America,2035,0.7
South America,2065,1.5
South America,2100,2.4
South America,2035,0.8
South America,2065,1.5
South America,2100,2.5
South America,2035,0.8
South America,2065,1.5
South America,2100,2.5
South America,2035,0.7
South America,2065,1.5
South America,2100,2.4
South America,2035,0.8
South America,2065,1.6
South America,2100,2.8
Asia,2035,0.8
Asia,2065,1.3
Asia,2100,2.4
Asia,2035,0.9
Asia,2065,1.5
Asia,2100,2.7
Asia,2035,0.7
Asia,2065,1.3
Asia,2100,2.2
Oceania,2035,0.7
Oceania,2065,1.4
Oceania,2100,2.3
Oceania,2035,0.7
Oceania,2065,1.4
Oceania,2100,2.3
Oceania,2035,0.7
Oceania,2065,1.2
Oceania,2100,2.1
Asia,2035,0.6
Asia,2065,1.1
Asia,2100,1.9
Asia,2035,0.6
Asia,2065,1.1
Asia,2100,1.8
Asia,2035,0.6
Asia,2065,1.2
Asia,2100,1.9
South America,2035,0.6
South America,2065,1.1
South America,2100,2.0
South America,2035,0.6
South America,2065,1.3
South America,2100,2.1
South America,2035,0.6
South America,2065,1.1
South America,2100,1.7
Africa,2035,0.8
Africa,2065,1.7
Africa,2100,2.8
Africa,2035,0.8
Africa,2065,1.6
Africa,2100,2.8
Africa,2035,0.8
Africa,2065,1.6
Africa,2100,2.7
Europe,2035,0.9
Europe,2065,1.6
Europe,2100,2.8
Europe,2035,0.7
Europe,2065,1.5
Europe,2100,2.3
Europe,2035,1.1
Europe,2065,2.0
Europe,2100,3.5
East Pacific,2035,0.5
East Pacific,2065,0.8
East Pacific,2100,1.5
East Pacific,2035,0.5
East Pacific,2065,0.9
East Pacific,2100,1.5
East Pacific,2035,0.5
East Pacific,2065,0.9
East Pacific,2100,1.5
East Pacific,2035,0.5
East Pacific,2065,1.0
East Pacific,2100,1.7
East Pacific,2035,0.5
East Pacific,2065,1.0
East Pacific,2100,1.7
East Pacific,2035,0.5
East Pacific,2065,0.9
East Pacific,2100,1.6
Asia,2035,1.1
Asia,2065,2.0
Asia,2100,3.3
Asia,2035,1.1
Asia,2065,2.0
Asia,2100,3.4
Asia,2035,0.9
Asia,2065,1.8
Asia,2100,3.2
Africa,2035,0.7
Africa,2065,1.4
Africa,2100,2.3
Africa,2035,0.8
Africa,2065,1.5
Africa,2100,2.5
Africa,2035,0.7
Africa,2065,1.4
Africa,2100,2.3
South America,2035,0.7
South America,2065,1.4
South America,2100,2.2
South America,2035,0.7
South America,2065,1.3
South America,2100,2.2
South America,2035,0.7
South America,2065,1.3
South America,2100,2.1
North America,2035,0.9
North America,2065,1.8
North America,2100,3.1
North America,2035,1.0
North America,2065,2.0
North America,2100,3.2
North America,2035,1.0
North America,2065,1.8
North America,2100,3.2
Africa,2035,1.1
Africa,2065,2.7
Africa,2100,4.6
Africa,2035,1.1
Africa,2065,2.5
Africa,2100,4.4
Africa,2035,1.2
Africa,2065,2.9
Africa,2100,5.0
Northern Hemisphere,2035,1.7
Northern Hemisphere,2065,4.1
Northern Hemisphere,2100,7.5
Northern Hemisphere,2035,2.1
Northern Hemisphere,2065,5.3
Northern Hemisphere,2100,9.6
Northern Hemisphere,2035,1.1
Northern Hemisphere,2065,2.6
Northern Hemisphere,2100,4.7
Asia,2035,1.1
Asia,2065,2.8
Asia,2100,5.0
Asia,2035,1.2
Asia,2065,2.6
Asia,2100,4.6
Asia,2035,1.2
Asia,2065,3.1
Asia,2100,5.3
Oceania,2035,1.0
Oceania,2065,2.2
Oceania,2100,4.3
Oceania,2035,0.9
Oceania,2065,2.2
Oceania,2100,3.9
Oceania,2035,1.0
Oceania,2065,2.2
Oceania,2100,4.4
South America,2035,0.9
South America,2065,2.1
South America,2100,3.9
South America,2035,0.9
South America,2065,2.1
South America,2100,3.9
South America,2035,0.9
South America,2065,2.3
South America,2100,4.2
Asia,2035,1.3
Asia,2065,3.1
Asia,2100,5.3
Asia,2035,1.3
Asia,2065,3.0
Asia,2100,5.3
Asia,2035,1.3
Asia,2065,3.0
Asia,2100,5.7
Europe,2035,1.1
Europe,2065,2.7
Europe,2100,4.8
Europe,2035,1.0
Europe,2065,2.6
Europe,2100,4.9
Europe,2035,1.3
Europe,2065,2.7
Europe,2100,5.3
North America,2035,1.2
North America,2065,2.8
North America,2100,5.1
North America,2035,1.2
North America,2065,2.7
North America,2100,5.0
North America,2035,1.2
North America,2065,2.9
North America,2100,5.4
Africa,2035,0.9
Africa,2065,2.2
Africa,2100,4.0
Africa,2035,0.9
Africa,2065,2.2
Africa,2100,3.9
Africa,2035,0.9
Africa,2065,2.1
Africa,2100,4.1
Asia,2035,1.1
Asia,2065,2.7
Asia,2100,4.9
Asia,2035,1.2
Asia,2065,2.9
Asia,2100,5.4
Asia,2035,1.0
Asia,2065,2.6
Asia,2100,4.8
North America,2035,1.2
North America,2065,2.8
North America,2100,5.1
North America,2035,1.4
North America,2065,3.0
North America,2100,5.5
North America,2035,1.1
North America,2065,2.8
North America,2100,5.1
East Pacific,2035,0.7
East Pacific,2065,1.6
East Pacific,2100,3.1
East Pacific,2035,0.7
East Pacific,2065,1.7
East Pacific,2100,3.1
East Pacific,2035,0.7
East Pacific,2065,1.6
East Pacific,2100,3.1
Europe,2035,1.2
Europe,2065,2.9
Europe,2100,5.0
Europe,2035,1.5
Europe,2065,3.4
Europe,2100,6.1
Europe,2035,1.1
Europe,2065,2.5
Europe,2100,4.5
North America,2035,1.7
North America,2065,3.7
North America,2100,6.9
North America,2035,2.1
North America,2065,5.1
North America,2100,9.3
North America,2035,1.2
North America,2065,2.7
North America,2100,4.9
Asia,2035,1.5
Asia,2065,3.6
Asia,2100,6.5
Asia,2035,1.9
Asia,2065,4.1
Asia,2100,7.9
Asia,2035,1.2
Asia,2065,2.9
Asia,2100,5.1
Atlantic MDR,2035,0.7
Atlantic MDR,2065,1.6
Atlantic MDR,2100,3.0
Atlantic MDR,2035,0.7
Atlantic MDR,2065,1.6
Atlantic MDR,2100,3.0
Atlantic MDR,2035,0.7
Atlantic MDR,2065,1.6
Atlantic MDR,2100,3.0
South America,2035,1.0
South America,2065,2.2
South America,2100,4.1
South America,2035,0.9
South America,2065,2.1
South America,2100,3.8
South America,2035,0.9
South America,2065,2.2
South America,2100,4.1
South America,2035,1.1
South America,2065,2.5
South America,2100,4.3
South America,2035,0.9
South America,2065,2.3
South America,2100,4.3
South America,2035,1.0
South America,2065,2.6
South America,2100,4.7
Asia,2035,0.9
Asia,2065,2.2
Asia,2100,4.1
Asia,2035,1.0
Asia,2065,2.6
Asia,2100,4.6
Asia,2035,0.8
Asia,2065,2.0
Asia,2100,3.7
Oceania,2035,0.8
Oceania,2065,1.9
Oceania,2100,3.9
Oceania,2035,0.9
Oceania,2065,2.1
Oceania,2100,3.8
Oceania,2035,0.7
Oceania,2065,1.7
Oceania,2100,3.4
Asia,2035,0.8
Asia,2065,1.7
Asia,2100,3.2
Asia,2035,0.7
Asia,2065,1.8
Asia,2100,3.2
Asia,2035,0.7
Asia,2065,1.8
Asia,2100,3.3
South America,2035,0.8
South America,2065,1.9
South America,2100,3.6
South America,2035,0.8
South America,2065,1.9
South America,2100,3.8
South America,2035,0.7
South America,2065,1.8
South America,2100,3.4
Africa,2035,1.1
Africa,2065,2.5
Africa,2100,4.5
Africa,2035,1.0
Africa,2065,2.5
Africa,2100,4.4
Africa,2035,1.0
Africa,2065,2.4
Africa,2100,4.5
Europe,2035,1.1
Europe,2065,2.5
Europe,2100,4.5
Europe,2035,0.9
Europe,2065,2.2
Europe,2100,3.8
Europe,2035,1.4
Europe,2065,3.3
Europe,2100,6.0
East Pacific,2035,0.6
East Pacific,2065,1.4
East Pacific,2100,2.6
East Pacific,2035,0.6
East Pacific,2065,1.4
East Pacific,2100,2.6
East Pacific,2035,0.6
East Pacific,2065,1.4
East Pacific,2100,2.6
East Pacific,2035,0.7
East Pacific,2065,1.6
East Pacific,2100,2.8
East Pacific,2035,0.6
East Pacific,2065,1.6
East Pacific,2100,2.9
East Pacific,2035,0.6
East Pacific,2065,1.6
East Pacific,2100,2.8
Asia,2035,1.3
Asia,2065,3.0
Asia,2100,5.5
Asia,2035,1.3
Asia,2065,3.2
Asia,2100,5.8
Asia,2035,1.2
Asia,2065,2.9
Asia,2100,5.3
Africa,2035,0.9
Africa,2065,2.1
Africa,2100,4.0
Africa,2035,1.0
Africa,2065,2.3
Africa,2100,4.0
Africa,2035,0.8
Africa,2065,2.0
Africa,2100,3.9
South America,2035,0.9
South America,2065,2.1
South America,2100,3.8
South America,2035,0.8
South America,2065,2.1
South America,2100,3.8
South America,2035,0.9
South America,2065,2.2
South America,2100,3.8
North America,2035,1.2
North America,2065,2.8
North America,2100,5.0
North America,2035,1.3
North America,2065,3.0
North America,2100,5.0
North America,2035,1.3
North America,2065,2.9
North America,2100,5.2
